Texto,Label Sobre Produto,Label Sobre Loja,Polaridade do review,Polaridade do review,Polaridade do review
Muito BOM,Product,,Good,,
Compatível com todos aparelhos next gen,Product,,Good,,
POR SATISFAÇÃO NO PREÇO E HONESTIDADE NO PRAZO DE ENTREGA.,,Store,Good,,
Bom,Product,,Good,,
"Muito Bom, entrega rápida.",Product,Store,Good,,
Comum nada a dizer sobre,,,Neutral,,
"Eu já conhecia, pois tenho um comprado numa loja.
O que faz a diferença para mim é o tipo de alça. Acho que no mostruário pela internet não mostra a parte das costas. 
Comprei dois de uma vez e senti dificuldade na opção pelas cores. Tentei marcar duas cores diferentes, mas ao clicar numa cor desmarcava a outra.
Fiquei satisfeita.",Product,Store,Good,Bad,Experience
"Eu achei maravilhosoooo, amei! Está na minha lista mensal de compras !",Product,,Good,,
"Os dois não são idênticos, entendo que possa haver variação no seu acabamento, mas um parece mais liso e o outro com mais relevos.",Product,,Neutral,,
"Excelente, pena que minha cachorrinha roeu a parte da frente logo nos 1ºs dias....
",Product,,Good,,
"O produto e bom , comparando com os preços ",Product,Store,Good,,
Muito bom meu sobrinho adorou.Fresco e envolvente. Fundo cítrico.,Product,,Good,,
A entrega foi rápida e chegou tudo certinho. ,,Store,Good,,
Entrega rapida produto otimo recomendo,Product,Store,Good,,
O produto é ótimo.,Product,,Good,,
muito bom este produto achei,Product,,Good,,
"Muito bom, não deixa a pele oleosa, hidrata super bem.",Product,,Good,,
Uma das melhores. O material é mais encorpado e é bem estilosa com esse gatinho.,Product,,Good,,
Calça com nº40 muito diferente (menor) do que o normal!,Product,,Bad,,
"Otimo produto, porem cheio de pontas de linhas.. o acabamento final precisa ser melhorado.",Product,,Good,Bad,
produto de qualidade. Caimento prefeito. ,Product,,Good,,
"Muito bom o produto. Poderiam ser mais baratos, sem promoção alguma não vale a pena.",Product,Store,Good ,Bad,
 Até é ótima. Imagem perfeita.,Product,,Good ,,
"Achei ótimo muito confortável, com certeza comprarei novamente recomendo.",Product,,Good ,,
"Produto bom e ficou com a aparência ótima, apenas o tapete do lado do motorista é um pouco maior que o espaço real dele.",Product,,Good ,,
Amei! É linda demais! Veste super bem.,Product,,Good ,,
Lindo demais me apaixonei,Product,,Good ,,
