Texto,Label Sobre Produto,Label Sobre Loja,Polaridade do review,,,,,,,
"AMEI a Gasômetro tanto no site (compra ),entrega toda monitorada, preços e produtos. ",,Store,,,,,,,,
Maravilhosa ! Super atenciosos,,Store,,,,,,,,
"Satisfeita  com  preço ,rapidez  na  entrega",,Store,,,,,,,,
"Tentei entrar em contato pelo site, e eu não consegui nada.",,Store,,,,,,,,
"Muito esse produto ,recomendo ...!!!",Product,,,,,,,,,
Otimo atendimento e prazo de entrega.,,Store,,,,,,,,
"otimo atendimento e entrega rapida, maravilhoso",,Store,,,,,,,,
"Sou cliente assídua da loja Epoca Cosméticos e nunca tive problemas, aliás prazo correto, produtos excelentes enfim só elogios.",,Store,,,,,,,,
É um site que nos proporciona um acesso fácil e livre de comprar.,,Store,,,,,,,,
A nova transportadora que vocês contrataram deixou a entrega bem mais rápida... Parabéns!,,Store,,,,,,,,
Entrega muito rápida e fui sendo informado de todo o processo. Estou muito satisfeito. ,,Store,,,,,,,,
adoro a loja...a proposta é fantastica ..sempre novidades,,Store,,,,,,,,
entrega pontual e facilidade para acompanhar o pedido.,,Store,,,,,,,,
Muito bom a loja virtual e show!!,,Store,,,,,,,,
"ótima loja, tanto as físicas quando a online!",,Store,,,,,,,,
"Apesar de pagar sedex, a loja so enviou depois de oito dias da compra, depois de muitos contatos.",,Store,,,,,,,,
"Segunda vez que compro na loja online e não poderia estar mais satisfeita. Entregam super rápido, produtos de qualidade, ótimas promoções.",,Store,,,,,,,,
"Atendimento muito bom, e eficiência na entrega! :)",,Store,,,,,,,,
"Excelente! Atendimento rápido e entrega antes do prazo. Muito bom, recomendo",,Store,,,,,,,,
Preço bom. Entrega rápida. Nenhum problema. Ótimo.,,Store,,,,,,,,
otima loja,,Store,,,,,,,,
"Atendimento excelente, entrega no prazo, produto bem embalado e agradeço pelo brinde q veio em razão da minha primeira compra.",,Store,,,,,,,,
Meus parente se deliciaram com minhas trufas e doces. Adoraram! Nunca tinha feito antes.,Product,,,,,,,,,
Muito bem atendido,,Store,,,,,,,,
A entrega foi mais rápida do que eu esperava. Isso é sempre muito bom quando se compra algo pela internet.,,Store,,,,,,,,
Tudo ótimo! Ótimo atendimento.,,Store,,,,,,,,
"Entrega antes do prazo, produto de qualidade ótimo atendimento ao cliente! já fiz outras compras no site e indico a todos, nem sempre tem o melhor preço, mas o respeito ao cliente faz valer a pena!!",,Store,,,,,,,,
Produto muito bom e entrega rápida! Tudo perfeito!!!,,Store,,,,,,,,
A entrega foi extremamente rápida. Fiz a compra numa 5a feira e na 2a seguinte tinha a encomenda em casa.,,Store,,,,,,,,
GOSTEI MUITO! E MUITO PRATICO E A ENTREGA FOI EFETUADA NO PRAZO CORRETO!,,Store,,,,,,,,
"De procedência, envio muito rápido! Recomendo.",,Store,,,,,,,,
"Recomendo.Tudo no capricho,entrega rápida, site descomplicado.",,Store,,,,,,,,
"Sempre compro na Cpaps. Nunca me     decepcionou.Entrega no prazo combinado, sempre honrando os produtos que oferece.",,Store,,,,,,,,
"Bom preço, sem frete, responderam todos os meus emails e mensagens. Recomendo.",,Store,,,,,,,,
Faturamento rápido. Entrega antes do prazo. Gostei muito.,,Store,,,,,,,,
"A experiência de compra foi boa, o produto chegou antes do prazo previsto e bem embalado. Senti falta apenas de uma case - é um baita instrumento, e se viesse acompanhado de uma boa capa para guardá-lo, seria sensacional :)",,Store,,,,,,,,
"A entrega foi muito demorada dessa vez, mas os preços e os brindes compensam.",,Store,,,,,,,,
Loja com precos otimos e bem acessível,,Store,,,,,,,,
"Nota dez, de confiança. Muito seria",,Store,,,,,,,,
otima loja. produtos bons. fácil de acessar. promoções inperdiveis e frete com o preço justo e entrega rápida.,,Store,,,,,,,,
"Compra facil, produtos com bons preços e entrega rapida.",,Store,,,,,,,,
Um produto veio trocado. Comprei de sobrepor. Recebi de embutir,,Store,,,,,,,,
"Ótima sempre que é possível procuro por produtos da loja CPAD,atendimento que satisfaz o cliente.",,Store,,,,,,,,
otima,,Store,,,,,,,,
"Rapidez na entrega, o site funciona bem, é bem variado e preço muito bom. Super recomendo!",,Store,,,,,,,,
Foi através do site e comentários positivos de outras pessoas,,Store,,,,,,,,
Bom preço e entrega rápida.,,Store,,,,,,,,
Os preços estavam muito bons e a variedade de ofertas era muito boa.,,Store,,,,,,,,
Chegou rápido e sem complicaçáo,,Store,,,,,,,,
Tem ótimos preços e agilidade para entrega,,Store,,,,,,,,
"Um excelente loja, com um prazo de entrega melhor ainda.",,Store,,,,,,,,
Fiz uma pesquisa para encontrar o vinho e fizemos uma boa negociação. Gostei muito da atenção ao Cliente e da prestação de serviços que ele sme dedicaram. Por isso vou indicá-los como um Fornecedor exemplar.,,Store,,,,,,,,
O produto chegou rápido e é de ótima qualidade,,Store,,,,,,,,
"Ótimo atendimento, fiquei muito satisfeito com a facilidade de compra e com a forma com que fui atendido.",,Store,,,,,,,,
Entrega rápida!,,Store,,,,,,,,
"boa loja, porem poderia ser melhor no feed back!!",,Store,,,,,,,,
Excelente atendimento e rapidez na entrega. Obrigado honeybe!!!!,,Store,,,,,,,,
Eu achei fácil de comprar e preços ótimos.,,Store,,,,,,,,
"Prazo de entrega muito bom, e foi cumprido. Seria bom poder ver as modelos com as outras cores, quando há, ao invés de só desenhos.",,Store,,,,,,,,
Ótima escolha além de lindos produtos a entrega é muito caprichosa!!! Parabéns Donna Coisinha serei uma eterna cliente!!! Obrigada!!!,,Store,,,,,,,,
"Os produtos são de ótima qualidade, correspondem ao que se vê no site e além disso a entrega foi muito rápida! Superou todas as expectativas, com certeza comprarei mais vezes!!!",,Store,,,,,,,,
muito boa a compra,,Store,,,,,,,,
"A loja é perfeita, acabei marcando a pontuação errada, porque gostaria mesmo de qualificar como 4, pois as peças chegam super rápidas e é muito fácil de manusear o site. ",,Store,,,,,,,,
Os produtos chegam certinhos ....,,Store,,,,,,,,
Local de fácil acesso. A filial ao qual fui apresentou um excelente atendimento. Voltaria de novo.,,Store,,,,,,,,
Muito bom tanto atendimento quanto a agilidade. Voltarei à comprar.,,Store,,,,,,,,
A loja é excelente. Envio rapido e seguro e ainda ganhei brindes.,,Store,,,,,,,,
Entrega rapida pagamento sem dificuldade mt bom,,Store,,,,,,,,
MINHA PRIMEIRA COMPRA NO SITE E DE CONFIANÇA PODEM COMPRAR. CHEGOU DENTRO DO PRAZO A LOGÍSTICA PERFEITA EXCELENTE VOLTAREI SIM A FAZER INÚMERAS COMPRAS COM VOCÊS PARABÉNS A TODA EQUIPE QUE TRABALHAM COM VOCÊS MEUS PARABENS AOS PROFISSIONAIS E A GERENCIA.,,Store,,,,,,,,
"Compra segura, material correto, entrega antes do prazo, uma beção!",,Store,,,,,,,,
Entrega rápida; compraria novamente sem medo.,,Store,,,,,,,,
"Quanto à entrega, algumas ponderações: prazo de entrega muito longo. Dados da entrega não foram corretamente atualizados no site (p.e., o número de rastreio estava incorreto).",,Store,,,,,,,,
"Excelente, venda e pós venda. Parabéns",,Store,,,,,,,,
Loja rápida e eficiente.,,Store,,,,,,,,
"A loja é muito competente! O envio do produto é rápido, o frete é honesto e a empresa é eficiente. Friopeças está de parabéns! Continuem assim!",,Store,,,,,,,,
É uma ótima empresa de suplementos,,Store,,,,,,,,
"Comprei pela internet,os vendedores sao super atenciosos,me atenderam super bem,e o produto chegou em minhas maos como descrito na loja...loja nota 10, eu recomendo Musical Mendes....",,Store,,,,,,,,
processo de compra perfeito; preço abaixo do praticado no mercado comum; rapidez nas entregas;as melhores marcas; segurança total.,,Store,,,,,,,,
A entrega foi antes do prazo e os produtos chegaram certinhos.,,Store,,,,,,,,
"Loja idônea e de fácil negociação, mesmo quando você quer devolver um produto, eu recomendo.",,Store,,,,,,,,
Compra super tranquila! Entrega relâmpago! Comprarei mais vezes!!!,,Store,,,,,,,,
Site bem amigável e envio muito rápido.,,Store,,,,,,,,
Estão de parabéns com a loja.,,Store,,,,,,,,
"bem embalado, entregue no prazo",,Store,,,,,,,,
Tudo certo. Muito bom.,,Store,,,,,,,,
E 100% seguro ótimo atendemento,,Store,,,,,,,,
"muito bom produto, pena não poder encontrar mais desse item aqui na minha cidade",Product,,,,,,,,,
"Bons preços, ótimo atendimento.",,Store,,,,,,,,
